details,prix,adresse,image_lien
Mondin,100000.0,"Mbour, Sénégal",https://images.coinafrique.com/thumb_3076669_uploaded_image1_1619200506.jpg
Aucune information,30000.0,"Mbour, Sénégal",https://images.coinafrique.com/thumb_3076680_uploaded_image1_1619200906.jpg
Aucune information,2500.0,"Mbao, Dakar, Sénégal",https://images.coinafrique.com/thumb_3082778_uploaded_image1_1619528177.jpg
3couples pigeons boulant panoramè reproducteur disponibles à rufisque,130000.0,"Rufisque, Sénégal",https://images.coinafrique.com/thumb_3083820_uploaded_image1_1619564909.jpg
King blanc confirme,80000.0,"Mbour, Sénégal",https://images.coinafrique.com/thumb_3087144_uploaded_image1_1619723224.jpg
Couple fauve adultes,80000.0,"Hann Bel-Air, Dakar, Sénégal",https://images.coinafrique.com/thumb_3089288_uploaded_image1_1619848402.jpg
Pigeon Lahore rouge male 100%,20000.0,"Rufisque, Sénégal",https://images.coinafrique.com/thumb_3090984_uploaded_image1_1619904750.jpg
Perruches  producteur  plus  la cage.,40000.0,"Mermoz-Sacré Coeur, Dakar, Sénégal",https://images.coinafrique.com/thumb_3094776_uploaded_image1_1620059311.jpg
Pigeon kochoi,70000.0,"Mbour, Sénégal",https://images.coinafrique.com/thumb_3099946_uploaded_image1_1620258649.jpg
Voyageur mento pur,20000.0,"Mbour, Sénégal",https://images.coinafrique.com/thumb_3101648_uploaded_image1_1620324800.jpg
Pigeon Lahore rouge,25000.0,"Mbour, Sénégal",https://images.coinafrique.com/thumb_3104308_uploaded_image1_1620450063.jpg
Pigeon Lahore,25000.0,"Mbour, Sénégal",https://images.coinafrique.com/thumb_3104310_uploaded_image1_1620450328.jpg
Aucune information,22000.0,"Dakar, Sénégal",https://images.coinafrique.com/thumb_3121121_uploaded_image1_1621343038.jpg
Je je un couple de colvert de la famille anatidae venant du canada à un prix très abordable,35000.0,"Dakar, Sénégal",https://images.coinafrique.com/thumb_3125526_uploaded_image1_1621532802.jpg
Aucune information,5000.0,"Guediawaye, Dakar, Sénégal",https://images.coinafrique.com/thumb_3126603_uploaded_image1_1621600775.jpg
Ils sont 2mois,40000.0,"Mbao, Dakar, Sénégal",https://images.coinafrique.com/thumb_3128887_uploaded_image1_1621714606.jpg
Bonjour je vends mes lapins angora mâle. ils sont déjà vacciné et ont 4 mois.,25000.0,"Dakar, Sénégal",https://images.coinafrique.com/thumb_3130806_uploaded_image1_1621853971.jpg
"Bonjour,
je vends des cailles jumbos souche lourde pré-pontes avec un bon ration male/femelle à très bon prix.
œuf de caille fécondés disponible.",1500.0,"HLM, Dakar, Sénégal",https://images.coinafrique.com/thumb_3131078_uploaded_image1_1621863390.jpg
Mondin nouveau sousse,180000.0,"Mbour, Sénégal",https://images.coinafrique.com/thumb_3131153_uploaded_image1_1621866089.jpg
"Pigeons voyageurs, paons et lawores à vendre.",12000.0,"Thies, Sénégal",https://images.coinafrique.com/thumb_3140949_uploaded_image1_1622373951.jpg
"Bonjour 
pigeon 
accessoires 
autres",500.0,"Mbao, Dakar, Sénégal",https://images.coinafrique.com/thumb_3142583_uploaded_image2_1622471438.jpeg
Aucune information,15000.0,"Touba, Sénégal",https://images.coinafrique.com/thumb_3148596_uploaded_image1_1622649167.jpg
Je vend des inséparables  d'inde a bon prix,40000.0,"Keur Massar, Sénégal",https://images.coinafrique.com/thumb_3150902_uploaded_image1_1622730048.jpg
Je vends des bleu et autres race de poule lapin autres   - vos poulet locale amélioré,3000.0,"Keur Massar, Sénégal",https://images.coinafrique.com/thumb_3154953_uploaded_image2_1622902343.jpeg
Paire lapereaux a céder dakar pikine whatsapp,15000.0,"Pikine, Sénégal",https://images.coinafrique.com/thumb_3155585_uploaded_image1_1622926869.jpg
Paire lapereaux a céder dakar pikine,15000.0,"Pikine, Sénégal",https://images.coinafrique.com/thumb_3155590_uploaded_image1_1622927017.jpg
Salut tout le monde âme éleveur vous informe que les pintades sont disponibles . merci de nous contacter pour plus d'informations,10000.0,"Mbao, Dakar, Sénégal",https://images.coinafrique.com/thumb_3165007_uploaded_image1_1623340371.jpg
"Poulet
Poulet de chair",2500.0,"Sicap Liberté, Dakar, Sénégal",https://images.coinafrique.com/thumb_3165580_uploaded_image1_1623362561.jpg
Aucune information,3000.0,"Ouakam, Dakar, Sénégal",https://images.coinafrique.com/thumb_3175790_uploaded_image1_1623855618.jpg
Aucune information,175000.0,"Mbour, Sénégal",https://images.coinafrique.com/thumb_3177465_uploaded_image1_1623938681.jpg
Aucune information,100000.0,"Mbour, Sénégal",https://images.coinafrique.com/thumb_3177475_uploaded_image1_1623938929.jpg
"Salut des lapins et lapereaux de race  géant des flandres, fauve de bourgogne, angoras, blanc de bouscat , hollandais, et des métissages à vendre dans la limite du stock disponible possibilité de livraison.",35000.0,"Guediawaye, Dakar, Sénégal",https://images.coinafrique.com/thumb_3187687_uploaded_image1_1624451192.jpg
Déjà vacciné,15000.0,"Yoff, Dakar, Sénégal",https://images.coinafrique.com/thumb_3197088_uploaded_image1_1624966307.jpg
Des lapereaux fauve pur sang dispo,25000.0,"Mbour, Sénégal",https://images.coinafrique.com/thumb_3202447_uploaded_image2_1625166857.jpeg
Perruche,20000.0,"Dakar, Sénégal",https://images.coinafrique.com/thumb_3214014_uploaded_image1_1625618936.jpg
"Je vends des poulets de chair d'ordinaire du pays et de races comme le brahma, le cochin, les bleus hollandais. veuillez me contacter pour plus d'infos.",2500.0,"Sicap Liberté, Dakar, Sénégal",https://images.coinafrique.com/thumb_3214815_uploaded_image1_1625661793.jpg
Disponible a Malika,2500.0,"Dakar, Sénégal",https://images.coinafrique.com/thumb_3229235_uploaded_image1_1626304950.jpg
Pigeon voyageur meulman et d’autres races a vendre,10000.0,"Dakar, Sénégal",https://images.coinafrique.com/thumb_3248657_uploaded_image1_1627469932.jpg
Aucune information,10000.0,"Kaolack, Sénégal",https://images.coinafrique.com/thumb_3278019_uploaded_image1_1628853028.jpg
"Profiter de cette réduction  pour la fête de Tamkharite des poulets de 2kg 
A vos commandes",3000.0,"Dakar, Sénégal",https://images.coinafrique.com/thumb_3283632_uploaded_image1_1629152543.jpg
Des lapereaux disponible,17000.0,"Pikine, Sénégal",https://images.coinafrique.com/thumb_3286388_uploaded_image1_1629289139.jpg
Poulet Bleu Hollande,4500.0,"Diourbel, Sénégal",https://images.coinafrique.com/thumb_3290876_uploaded_image1_1629501810.jpg
Aucune information,50000.0,"Kaolack, Sénégal",https://images.coinafrique.com/thumb_3302613_uploaded_image1_1630169095.jpg
Aucune information,100000.0,"Louga, Sénégal",https://images.coinafrique.com/thumb_3306464_uploaded_image1_1630410757.jpg
Aucune information,95000.0,"Louga, Sénégal",https://images.coinafrique.com/thumb_3306474_uploaded_image1_1630410943.jpg
Aucune information,25000.0,"Louga, Sénégal",https://images.coinafrique.com/thumb_3306481_uploaded_image1_1630411232.jpg
Aucune information,22000.0,"Louga, Sénégal",https://images.coinafrique.com/thumb_3307095_uploaded_image1_1630430739.jpg
Des paires lapereaux à vendre,17000.0,"Pikine, Sénégal",https://images.coinafrique.com/thumb_3315445_uploaded_image1_1630722382.jpg
Brahma pur sang  de un mois,20000.0,"Dakar, Sénégal",https://images.coinafrique.com/thumb_3316797_uploaded_image1_1630784777.jpg
Brahmâ pur sang d un mois,20000.0,"Dakar, Sénégal",https://images.coinafrique.com/thumb_3316806_uploaded_image1_1630785002.jpg
Aucune information,30000.0,"Dakar, Sénégal",https://images.coinafrique.com/thumb_3316809_uploaded_image1_1630785179.jpg
Nous vendons de beaux lapins nains a un prix defiant toute concurence pour plus d information merci de nous contacter,30000.0,"Parcelle Assainies, Dakar, Sénégal",https://images.coinafrique.com/thumb_3322610_uploaded_image1_1631059644.jpg
"Poulets pondeuses âge de deux mois yekh niak
2000fr par unité",2000.0,"Dakar, Sénégal",https://images.coinafrique.com/thumb_3333107_uploaded_image1_1631563838.jpg
De bon poulets pour lsafar,2300.0,"Guediawaye, Dakar, Sénégal",https://images.coinafrique.com/thumb_3337450_uploaded_image1_1631785546.jpg
"Salut, des couples brahmanes, des cochins et des poules qui couve naturellement de différents âges à vendre dans la limite du stock disponible possibilité de livraison.",35000.0,"Guediawaye, Dakar, Sénégal",https://images.coinafrique.com/thumb_3349394_uploaded_image1_1632391504.jpg
"Salut, des couples brahmanes, des cochins et des poules qui couve naturellement de différents âges à vendre dans la limite du stock disponible possibilité de livraison.",35000.0,"Guediawaye, Dakar, Sénégal",https://images.coinafrique.com/thumb_3349397_uploaded_image2_1632391557.jpeg
"Salut, des couples brahmanes, des cochins et des poules qui couve naturellement de différents âges à vendre dans la limite du stock disponible possibilité de livraison.",35000.0,"Guediawaye, Dakar, Sénégal",https://images.coinafrique.com/thumb_3349401_uploaded_image1_1632391902.jpg
"Salut, des couples brahmanes, des cochins et des poules qui couve naturellement de différents âges à vendre dans la limite du stock disponible possibilité de livraison.",35000.0,"Guediawaye, Dakar, Sénégal",https://images.coinafrique.com/thumb_3349405_uploaded_image2_1632391949.jpeg
Mbour joal,50000.0,"Mbour, Sénégal",https://images.coinafrique.com/thumb_3353059_uploaded_image1_1632603388.jpg
Mbour,40000.0,"Mbour, Sénégal",https://images.coinafrique.com/thumb_3353065_uploaded_image1_1632603690.jpg
Mbour,50000.0,"Mbour, Sénégal",https://images.coinafrique.com/thumb_3353071_uploaded_image1_1632603938.jpg
Mbour thies,110000.0,"Mbour, Sénégal",https://images.coinafrique.com/thumb_3353083_uploaded_image1_1632604432.jpg
Pour votre besoin de poulets d ornement elevage d ornement est prêt pour vous satisfaire merci de nous contacter via nos numéros. brahman hermjne,100000.0,"Guediawaye, Dakar, Sénégal",https://images.coinafrique.com/thumb_3357145_uploaded_image1_1632869295.jpg
Aucune information,85000.0,"Dakar, Sénégal",https://images.coinafrique.com/thumb_3362871_uploaded_image1_1633116442.jpg
Aucune information,50000.0,"Dakar, Sénégal",https://images.coinafrique.com/thumb_3369356_uploaded_image1_1633438053.jpg
Barahmane adulte pure sang pére et mére !! pas de négociation !!,100000.0,"M'bour, Sénégal",https://images.coinafrique.com/thumb_3370800_uploaded_image2_1633504872.jpeg
Aucune information,50000.0,"Dakar, Sénégal",https://images.coinafrique.com/thumb_3371154_uploaded_image1_1633515720.jpg
Pigeon voyageur prix négociable,10000.0,"Ouest Foire, Dakar, Sénégal",https://images.coinafrique.com/thumb_3373808_uploaded_image1_1633618269.jpg
Pigeon voyageur av prix légèrement discutable,10000.0,"Ouest Foire, Dakar, Sénégal",https://images.coinafrique.com/thumb_3373811_uploaded_image1_1633618398.jpg
"Je vends 7 pigeons bouvreuils dont 3 couples et un seul le lots de 7 et a 75000 par couple c’est a 22000
adresse : à keur ndiaye lo à côté de rufisque juste après le elton",22000.0,"Rufisque, Sénégal",https://images.coinafrique.com/thumb_3378491_uploaded_image1_1633862943.jpg
Je besoin d'argent urgent c'est pour cela je voulais l vendre je pas de choix quantité 670poulet sont disponible,2000.0,"Dakar, Sénégal",https://images.coinafrique.com/thumb_3379737_uploaded_image1_1633947290.jpg
Tout les pigeons de race,65000.0,"Thies, Sénégal",https://images.coinafrique.com/thumb_3382710_uploaded_image1_1634069766.jpg
Aucune information,35000.0,"Ouakam, Dakar, Sénégal",https://images.coinafrique.com/thumb_3405195_uploaded_image1_1635268881.jpg
"jeune et adulte disponible 
négociable",40000.0,"Rufisque, Sénégal",https://images.coinafrique.com/thumb_3414593_uploaded_image1_1635789344.jpg
"Jeune et adulte disponible 
négociable",100000.0,"Rufisque, Sénégal",https://images.coinafrique.com/thumb_3414597_uploaded_image1_1635789492.jpg
"Jeune et adulte disponible 
négociable",60000.0,"Rufisque, Sénégal",https://images.coinafrique.com/thumb_3414604_uploaded_image1_1635789687.jpg
Aucune information,70000.0,"Dakar, Sénégal",https://images.coinafrique.com/thumb_3418994_uploaded_image1_1635954539.jpg
Aucune information,70000.0,"Dakar, Sénégal",https://images.coinafrique.com/thumb_3418999_uploaded_image1_1635954718.jpg
Couple poussin brahma pur sang,22000.0,"Yoff, Dakar, Sénégal",https://images.coinafrique.com/thumb_3426274_uploaded_image1_1636309987.jpg
J ai deux couple lapin av pour plus d info pv,35000.0,"Hann Bel-Air, Dakar, Sénégal",https://images.coinafrique.com/thumb_3437255_uploaded_image1_1636886889.jpg
Pigeon voyageur,17000.0,"Touba, Sénégal",https://images.coinafrique.com/thumb_3444824_uploaded_image1_1637284415.jpg
"Liquidation des poules sa reste que 45 poules u  a 3000
de kl a bien entretenu",3000.0,"Mermoz-Sacré Coeur, Dakar, Sénégal",https://images.coinafrique.com/thumb_3447997_uploaded_image1_1637496004.jpg
Disponible tous les semaines,3000.0,"Dakar, Sénégal",https://images.coinafrique.com/thumb_3464218_uploaded_image1_1638449183.jpg
Aucune information,25000.0,"Dakar, Sénégal",https://images.coinafrique.com/thumb_3468974_uploaded_image1_1638651001.jpg
"Ben bou nek 8000 cfa j'habite à bene barack 
mmor dieng élevage",16000.0,"Guediawaye, Dakar, Sénégal",https://images.coinafrique.com/thumb_3473109_uploaded_image1_1638884949.jpg
Aucune information,75000.0,"Diamalaye 1, Dakar, Sénégal",https://images.coinafrique.com/thumb_3505148_uploaded_image1_1641130075.jpg
Vente de poule et coq de race bleue hollandaise 5mois et demi prés à pondre,15000.0,"Mbao, Dakar, Sénégal",https://images.coinafrique.com/thumb_3513806_uploaded_image1_1641562270.jpg
J vend des lapereaux âge déjà chèvré prix uniter 15 000 le tou a 40 milles des metise fauve encoura,40000.0,"Hann Bel-Air, Dakar, Sénégal",https://images.coinafrique.com/thumb_3520760_uploaded_image1_1641976763.jpg
"Je vend dé lapereau angora, tous blancs à un prix imbattable.le pair à 15mill",15000.0,"HLM, Dakar, Sénégal",https://images.coinafrique.com/thumb_3521996_uploaded_image1_1642019964.jpg
Femelle manteau opale barre blanche,60000.0,"Thies, Sénégal",https://images.coinafrique.com/thumb_3526942_uploaded_image1_1642346260.jpg
"Je vends des poulets de 1,5kg à 2kg sur pied et déjà abattu en gros ou détail",25003000.0,"Grand Dakar, Dakar, Sénégal",https://images.coinafrique.com/thumb_3529776_uploaded_image1_1642526350.jpg
Aucune information,35000.0,"Hann Bel-Air, Dakar, Sénégal",https://images.coinafrique.com/thumb_3536316_uploaded_image1_1642949781.jpg
Aucune information,35000.0,"Thies, Sénégal",https://images.coinafrique.com/thumb_3537679_uploaded_image1_1643058435.jpg
Femelle opal rosa gros gabarit,35000.0,"Thies, Sénégal",https://images.coinafrique.com/thumb_3544071_uploaded_image1_1643465628.jpg
"Je vend un lot de 3 pigeons dont 2 jeunes ecailles bagues et un male noir . il est possible d'acheter que le noir : 8500fcfa mais les 2 jeunes vont ensemble : 17000fcfa
merci.",25000.0,"Sipres, Dakar, Sénégal",https://images.coinafrique.com/thumb_3544488_uploaded_image1_1643489629.jpg
"Bonjour, je mets en vente mon lot de couple voyageur en bonne santé et très productif, il est possible de prendre à l'unité (7500)et par couple (15000)le lot acheter un ouvert. merci",45000.0,"Dieuppeul-Derklé, Dakar, Sénégal",https://images.coinafrique.com/thumb_3544759_uploaded_image1_1643532462.jpg
"Coq brahma a vendre pur sang
prix négociable",50000.0,"Rufisque, Sénégal",https://images.coinafrique.com/thumb_3546219_uploaded_image1_1643635974.jpg
Aucune information,10000.0,"Rufisque, Sénégal",https://images.coinafrique.com/thumb_3546230_uploaded_image1_1643636330.jpg
Aucune information,45000.0,"Rufisque, Sénégal",https://images.coinafrique.com/thumb_3546233_uploaded_image1_1643636475.jpg
Aucune information,30000.0,"Dakar, Sénégal",https://images.coinafrique.com/thumb_3548688_uploaded_image1_1643733991.jpg
Je vends des oeufs brahma pur sang prix a l'unité,2500.0,"Rufisque, Sénégal",https://images.coinafrique.com/thumb_3556035_uploaded_image1_1644085287.jpg
Couple brahman avec bonus,50000.0,"Saint Louis, Sénégal",https://images.coinafrique.com/thumb_3556200_uploaded_image1_1644096446.jpg
Femelle,25000.0,"Parcelle Assainies, Dakar, Sénégal",https://images.coinafrique.com/thumb_3569532_uploaded_image1_1644995089.jpg
Aucune information,90000.0,"Dakar, Sénégal",https://images.coinafrique.com/thumb_3577024_uploaded_image1_1645466016.jpg
Aucune information,90000.0,"Dakar, Sénégal",https://images.coinafrique.com/thumb_3589888_uploaded_image1_1646229530.jpg
"Jeunes brahma de 8 semaines , vaccinés ncastel, gumboro",20000.0,"Mbour, Sénégal",https://images.coinafrique.com/thumb_3595177_uploaded_image1_1646493730.jpg
Des lapin metisage av,15000.0,"Hann Bel-Air, Dakar, Sénégal",https://images.coinafrique.com/thumb_3624677_uploaded_image1_1648325393.jpg
Je vends un pigeon dragon mâle de couleur rouge .,20000.0,"Mariste, Dakar, Sénégal",https://images.coinafrique.com/thumb_3671452_uploaded_image1_1651059347.jpg
Aucune information,40000.0,"Mboro, Sénégal",https://images.coinafrique.com/thumb_3671735_uploaded_image1_1651068448.jpg
Mâle,35000.0,"Mboro, Sénégal",https://images.coinafrique.com/thumb_3671744_uploaded_image1_1651068700.jpg
"Diversité de races de pigeons

des pigeons de très haut qualité",50000.0,"Cambérène, Dakar, Sénégal",https://images.coinafrique.com/thumb_3675341_uploaded_image1_1651328468.jpg
Couple bantam de pékin male bleu et femelle noire frisée,80000.0,"Guediawaye, Dakar, Sénégal",https://images.coinafrique.com/thumb_3678837_uploaded_image1_1651584122.jpg
Des couples brahman herminé ou sussex disponibles et des croisements en plus des oeufs si possible...,50000.0,"Saint Louis, Sénégal",https://images.coinafrique.com/thumb_3680687_uploaded_image1_1651677884.jpg
A vendre couple lapin âgé d'un et un mois bien entretenu avec leur carnet de vaccination,65000.0,"Dakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/thumb_3680760_uploaded_image1_1651680730.jpg
Aucune information,20000.0,"Rufisque, Sénégal",https://images.coinafrique.com/thumb_3701283_uploaded_image1_1652877907.jpg
Aucune information,50000.0,"Rufisque, Sénégal",https://images.coinafrique.com/thumb_3701284_uploaded_image1_1652878050.jpg
Promo poussin,25000.0,"Keur Massar, Sénégal",https://images.coinafrique.com/thumb_3712620_uploaded_image1_1653566057.jpg
"Société africaine pour la promotion de l’aviculture modeme 
rond-point zac mbao en face station total 
prix fix : 27500f 
livraison partout au sénégal",27500.0,"Rufisque, Sénégal",https://images.coinafrique.com/thumb_3713086_uploaded_image1_1653586071.jpg
Sur pied,2500.0,"Niaga, Sénégal",https://images.coinafrique.com/thumb_3719067_uploaded_image1_1654006894.jpg
Paire brahmane pure sang à très bon prix,45000.0,"Louga, Sénégal",https://images.coinafrique.com/thumb_3725108_uploaded_image1_1654262429.jpg
Les poussins sont disponibles chaque semaine et sont de très bonne qualités. passez vos commandes.,28000.0,"Yoff, Dakar, Sénégal",https://images.coinafrique.com/thumb_3756839_uploaded_image1_1656080074.jpg
Nous vendons de tres beaux lapins nains a des prix defiant toute concurrence,30000.0,"Parcelle Assainies, Dakar, Sénégal",https://images.coinafrique.com/thumb_3756850_uploaded_image1_1656080564.jpg
Aucune information,20000.0,"Keur Massar, Sénégal",https://images.coinafrique.com/thumb_3762877_uploaded_image1_1656485681.jpg
Lapins à vendre,15000.0,"Diamniadio, Sénégal",https://images.coinafrique.com/thumb_3778360_uploaded_image1_1657315361.jpg
Couple lapin nain bien entretenu agée dun an 4 mois avec leur carnet de vaccinations,60000.0,"Dakar, Sénégal",https://images.coinafrique.com/thumb_3779800_uploaded_image1_1657474190.jpg
"Poulet bleu d’hollande, poulet du pays et race",6000.0,"Parcelle Assainies, Dakar, Sénégal",https://images.coinafrique.com/thumb_3788366_uploaded_image1_1658082013.jpg
"Des poulets frais à vendre
des poulets frais a vendre en gros et détails à partir de 3500 frs cfa par pièce contctez mr sarr pour la
livraison",3500.0,"HLM, Dakar, Sénégal",https://images.coinafrique.com/thumb_3749412_uploaded_image1_1655656513.jpg
Lapin nain à vendre,60000.0,"Dakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/thumb_3795801_uploaded_image1_1658525928.jpg
Poulet bien nourri sur pieds,2800.0,"Dakar, Sénégal",https://images.coinafrique.com/thumb_3799302_uploaded_image1_1658780673.jpg
Slt je met en vente 3 femelle manteau opal adulte,35000.0,"Cambérène, Dakar, Sénégal",https://images.coinafrique.com/thumb_3802372_uploaded_image1_1658943727.jpg
Aucune information,110000.0,"Dakar, Sénégal",https://images.coinafrique.com/thumb_3803358_uploaded_image2_1659010838.jpeg
Aucune information,60000.0,"Dakar, Sénégal",https://images.coinafrique.com/thumb_3803369_uploaded_image1_1659011427.jpg
Je cède ma femmelle herminé pure sang yékh yakk,45000.0,"Dakar, Sénégal",https://images.coinafrique.com/thumb_3807013_uploaded_image1_1659264761.jpg
Aucune information,3500.0,"Dakar, Sénégal",https://images.coinafrique.com/thumb_3809817_uploaded_image1_1659394489.jpg
Poulle disponibe,3000.0,"HLM, Dakar, Sénégal",https://images.coinafrique.com/thumb_3812639_uploaded_image1_1659524524.jpg
Je vend à ses prix car j’arrête l’élevage des pigeons pigeon espagnol intéressé vir sur le numéro,10000.0,"Dakar, Sénégal",https://images.coinafrique.com/thumb_3818867_uploaded_image1_1659851278.jpg
"Ce sont mes 1er pigeon qui produit chaque mois des œufs 
le mal est portugais la femmelle est espagnole 
ce sont des pigeons voyageurs 
souvent leur enfant sont des rouges",20000.0,"Dakar, Sénégal",https://images.coinafrique.com/thumb_3818868_uploaded_image1_1659851735.jpg
Des poulet de qualité frais pour le tamkharitt,3000.0,"Mariste, Dakar, Sénégal",https://images.coinafrique.com/thumb_3820323_uploaded_image1_1659956851.jpg
Je vends des couples de pigeons voyageurs de differente couleurs a bon prix,2000.0,"Dakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/thumb_3829942_uploaded_image1_1660489290.jpg
"Pigeon par baye darou 
femelle",7000.0,"Grand Yoff, Dakar, Sénégal",https://images.coinafrique.com/thumb_3856160_uploaded_image1_1662023975.jpg
Vente de pigeon par baye darou,3000.0,"Grand Yoff, Dakar, Sénégal",https://images.coinafrique.com/thumb_3856165_uploaded_image1_1662024131.jpg
Poussin pintade,1500.0,"Parcelle Assainies, Dakar, Sénégal",https://images.coinafrique.com/thumb_3859176_uploaded_image1_1662124807.jpg
Poulet chair à vendre poids 1kg500,4000.0,"Guediawaye, Dakar, Sénégal",https://images.coinafrique.com/thumb_3869035_uploaded_image1_1662638536.jpg
"Vente de poussins hybrides bleues hollandaises ,de races suxess allant d’une semaine à 1 mois",1500.0,"Mbao, Dakar, Sénégal",https://images.coinafrique.com/thumb_3879015_uploaded_image1_1663241115.jpg
Vente de coq et poule de 6 mois pour reproduction bleues hollandaise ; susex ;geline de tourrain ;poules rousses ;avec des races hybrides de tous genres.,15000.0,"Mbao, Dakar, Sénégal",https://images.coinafrique.com/thumb_3879030_uploaded_image1_1663241521.jpg
Poussin de caille disponible,500.0,"Keur Massar, Sénégal",https://images.coinafrique.com/thumb_3882380_uploaded_image1_1663498641.jpg
Deux paire pigeon voyageur 10 000 est un couple paon a 20 000  av,10000.0,"Hann Bel-Air, Dakar, Sénégal",https://images.coinafrique.com/thumb_3911548_uploaded_image1_1665233800.jpg
Mâle engoura adulte  dispo à 20 000,20000.0,"Hann Bel-Air, Dakar, Sénégal",https://images.coinafrique.com/thumb_3911550_uploaded_image1_1665233894.jpg
Fauve de bourgaugne pur sang,65000.0,"Mbour, Sénégal",https://images.coinafrique.com/thumb_3934536_uploaded_image1_1666646311.jpg
Couple lapin adulte av,25000.0,"Hann Bel-Air, Dakar, Sénégal",https://images.coinafrique.com/thumb_3937288_uploaded_image1_1666813728.jpg
Aucune information,80000.0,"Dakar, Sénégal",https://images.coinafrique.com/thumb_3941235_uploaded_image1_1667077382.jpg
Aucune information,50000.0,"Tambacounda, Sénégal",https://images.coinafrique.com/thumb_3956033_uploaded_image1_1667909977.jpg
Aucune information,30000.0,"Touba, Sénégal",https://images.coinafrique.com/thumb_3956250_uploaded_image1_1667916487.jpg
Pan indien,30000.0,"Mbao, Dakar, Sénégal",https://images.coinafrique.com/thumb_3958692_uploaded_image1_1668044083.jpg
Poussin dinde chair disponible régulièrement,3000.0,"Dakar, Sénégal",https://images.coinafrique.com/thumb_3981127_uploaded_image1_1669459933.jpg
Poussin bleu holande disponible régulièrement par carton ou demi carton,30000.0,"Dakar, Sénégal",https://images.coinafrique.com/thumb_3981130_uploaded_image1_1669460038.jpg
À vendre,20000.0,"Parcelle Assainies, Dakar, Sénégal",https://images.coinafrique.com/thumb_3983729_uploaded_image1_1669650251.jpg
Je vend c couple de pigeons,85000.0,"Mbour, Sénégal",https://images.coinafrique.com/thumb_3986519_uploaded_image1_1669815997.jpg
Des pigeons allemands très haute sur pattes,80000.0,"Cambérène, Dakar, Sénégal",https://images.coinafrique.com/thumb_3989311_uploaded_image1_1669935034.jpg
Cochain blanc mal adultes,65000.0,"Mbour, Sénégal",https://images.coinafrique.com/thumb_3990507_uploaded_image1_1669994795.jpg
Pigeon français a vendre à un prix abordable,25000.0,"Sicap Liberté, Dakar, Sénégal",https://images.coinafrique.com/thumb_3999035_uploaded_image1_1670454354.jpg
Pigeons voyageurs papiété blanc   blanc sec   bleu écailles bague 2021 2022,12000.0,"Mbour, Sénégal",https://images.coinafrique.com/thumb_4009110_uploaded_image1_1671058199.jpg
Poules,35000.0,"Touba, Sénégal",https://images.coinafrique.com/thumb_4012177_uploaded_image3_1671225532.jpeg
Aucune information,30000.0,"Touba, Sénégal",https://images.coinafrique.com/thumb_4012180_uploaded_image1_1671225603.jpg
"Je suis dans le besoin en ce moment c'est pourquoi
j'ai des pigeons a vendre plusieurs race king , romain,pan,boulon etc..",50000.0,"Kaolack, Sénégal",https://images.coinafrique.com/thumb_4013190_uploaded_image1_1671298740.jpg
Couple noir en cour de reproduction,14000.0,"Mariste, Dakar, Sénégal",https://images.coinafrique.com/thumb_4019501_uploaded_image1_1671719532.jpg
Couple mondain producteur,90000.0,"Thies, Sénégal",https://images.coinafrique.com/thumb_4021333_uploaded_image1_1671837659.jpg
Couple texan,40000.0,"Thies, Sénégal",https://images.coinafrique.com/thumb_4021335_uploaded_image1_1671837753.jpg
Aucune information,3000.0,"Dakar, Sénégal",https://images.coinafrique.com/thumb_4021629_uploaded_image1_1671880183.jpg
Vente de poulet de chair prix varie entre 3500 et 4000 fcfa,3500.0,"Rufisque, Sénégal",https://images.coinafrique.com/thumb_4028864_uploaded_image2_1672481470.jpeg
2 mal cochin blanc  ventre,50000.0,"Dakar, Sénégal",https://images.coinafrique.com/thumb_4030993_uploaded_image1_1672682272.jpg
Aucune information,50000.0,"Dakar, Sénégal",https://images.coinafrique.com/thumb_4030997_uploaded_image1_1672682387.jpg
"Notre perruche ondulée est un oiseau domestique magnifique, avec un plumage coloré et des ailes ondulées caractéristiques. 
la perruche ondulée est également très intelligente et peut apprendre à imiter certaines phrases et sons. elle a besoin d'un minimum espace pour voler et s'exprimer, et a également besoin d'une alimentation saine et équilibrée pour rester en bonne santé. si vous cherchez un animal de compagnie unique et affectueux, notre perruche ondulée est le choix idéal. n'hésitez pas à nous contacter pour plus d'informations ou pour passer une commande.",20000.0,"Dakar, Sénégal",https://images.coinafrique.com/thumb_4033032_uploaded_image1_1672783609.jpg
"Notre perruche anglaise est un oiseau domestique magnifique et affectueux, avec un plumage coloré et des ailes puissantes. elle est très sociable et peut apprendre à imiter certaines phrases et sons. elle a besoin d'un grand espace pour voler et s'exprimer, et a également besoin d'une alimentation saine et équilibrée pour rester en bonne santé. si vous cherchez un animal de compagnie unique, notre perruche anglaise est le choix idéal. n'hésitez pas à nous contacter pour plus d'informations ou pour passer une commande.",50000.0,"Dieuppeul-Derklé, Dakar, Sénégal",https://images.coinafrique.com/thumb_4033120_uploaded_image1_1672788351.jpg
Cest un tres bon couple,15000.0,"Cambérène, Dakar, Sénégal",https://images.coinafrique.com/thumb_4034942_uploaded_image1_1672874900.jpg
